repo,query_type,api_type,trial,response_time_ms,response_size_bytes
codecrafters-io/build-your-own-x,simple,graphql,1,583.437,497
codecrafters-io/build-your-own-x,simple,rest,1,438.692,7125
codecrafters-io/build-your-own-x,simple,graphql,2,615.482,497
codecrafters-io/build-your-own-x,simple,rest,2,448.343,7125
codecrafters-io/build-your-own-x,simple,graphql,3,616.942,497
codecrafters-io/build-your-own-x,simple,rest,3,443.65,7125
codecrafters-io/build-your-own-x,simple,graphql,4,566.593,497
codecrafters-io/build-your-own-x,simple,rest,4,482.845,7125
codecrafters-io/build-your-own-x,simple,graphql,5,544.94,497
codecrafters-io/build-your-own-x,simple,rest,5,472.8,7125
codecrafters-io/build-your-own-x,medium,graphql,1,813.537,4089
codecrafters-io/build-your-own-x,medium,rest,1,1206.466,77118
codecrafters-io/build-your-own-x,medium,graphql,2,535.296,4089
codecrafters-io/build-your-own-x,medium,rest,2,1154.64,77118
codecrafters-io/build-your-own-x,medium,graphql,3,582.891,4089
codecrafters-io/build-your-own-x,medium,rest,3,1317.212,77118
codecrafters-io/build-your-own-x,medium,graphql,4,588.04,4089
codecrafters-io/build-your-own-x,medium,rest,4,1335.59,77118
codecrafters-io/build-your-own-x,medium,graphql,5,978.475,4089
codecrafters-io/build-your-own-x,medium,rest,5,6106.015,77118
codecrafters-io/build-your-own-x,complex,graphql,1,1296.755,3491
codecrafters-io/build-your-own-x,complex,rest,1,9210.807,156303
codecrafters-io/build-your-own-x,complex,graphql,2,1109.088,3491
codecrafters-io/build-your-own-x,complex,rest,2,8953.699,156303
codecrafters-io/build-your-own-x,complex,graphql,3,874.349,3491
codecrafters-io/build-your-own-x,complex,rest,3,10023.008,156303
codecrafters-io/build-your-own-x,complex,graphql,4,1158.268,3491
codecrafters-io/build-your-own-x,complex,rest,4,8989.624,156303
codecrafters-io/build-your-own-x,complex,graphql,5,1204.565,3491
codecrafters-io/build-your-own-x,complex,rest,5,8999.732,156303
sindresorhus/awesome,simple,graphql,1,603.896,442
sindresorhus/awesome,simple,rest,1,408.734,5539
sindresorhus/awesome,simple,graphql,2,578.071,442
sindresorhus/awesome,simple,rest,2,405.608,5539
sindresorhus/awesome,simple,graphql,3,568.825,442
sindresorhus/awesome,simple,rest,3,449.868,5539
sindresorhus/awesome,simple,graphql,4,583.679,442
sindresorhus/awesome,simple,rest,4,438.863,5539
sindresorhus/awesome,simple,graphql,5,626.453,442
sindresorhus/awesome,simple,rest,5,430.72,5539
sindresorhus/awesome,medium,graphql,1,667.626,4546
sindresorhus/awesome,medium,rest,1,1473.078,151804
sindresorhus/awesome,medium,graphql,2,658.463,4546
sindresorhus/awesome,medium,rest,2,1328.44,151804
sindresorhus/awesome,medium,graphql,3,635.735,4546
sindresorhus/awesome,medium,rest,3,1177.782,151804
sindresorhus/awesome,medium,graphql,4,659.658,4546
sindresorhus/awesome,medium,rest,4,1121.137,151804
sindresorhus/awesome,medium,graphql,5,622.611,4546
sindresorhus/awesome,medium,rest,5,1346.461,151804
sindresorhus/awesome,complex,graphql,1,1314.144,15834
sindresorhus/awesome,complex,rest,1,10322.272,200813
sindresorhus/awesome,complex,graphql,2,1234.621,15834
sindresorhus/awesome,complex,rest,2,9359.023,200813
sindresorhus/awesome,complex,graphql,3,1131.755,15834
sindresorhus/awesome,complex,rest,3,14251.032,200813
sindresorhus/awesome,complex,graphql,4,1052.956,15834
sindresorhus/awesome,complex,rest,4,9309.363,200813
sindresorhus/awesome,complex,graphql,5,875.801,15834
sindresorhus/awesome,complex,rest,5,9236.936,200813
freeCodeCamp/freeCodeCamp,simple,graphql,1,629.784,527
freeCodeCamp/freeCodeCamp,simple,rest,1,492.902,7060
freeCodeCamp/freeCodeCamp,simple,graphql,2,676.798,527
freeCodeCamp/freeCodeCamp,simple,rest,2,450.147,7060
freeCodeCamp/freeCodeCamp,simple,graphql,3,655.979,527
freeCodeCamp/freeCodeCamp,simple,rest,3,480.61,7060
freeCodeCamp/freeCodeCamp,simple,graphql,4,647.938,527
freeCodeCamp/freeCodeCamp,simple,rest,4,469.49,7060
freeCodeCamp/freeCodeCamp,simple,graphql,5,572.332,527
freeCodeCamp/freeCodeCamp,simple,rest,5,470.971,7060
freeCodeCamp/freeCodeCamp,medium,graphql,1,843.351,6357
freeCodeCamp/freeCodeCamp,medium,rest,1,1244.009,94023
freeCodeCamp/freeCodeCamp,medium,graphql,2,656.922,6357
freeCodeCamp/freeCodeCamp,medium,rest,2,1161.361,94023
freeCodeCamp/freeCodeCamp,medium,graphql,3,1163.677,6357
freeCodeCamp/freeCodeCamp,medium,rest,3,1193.553,94023
freeCodeCamp/freeCodeCamp,medium,graphql,4,772.984,6357
freeCodeCamp/freeCodeCamp,medium,rest,4,1127.526,94023
freeCodeCamp/freeCodeCamp,medium,graphql,5,786.114,6357
freeCodeCamp/freeCodeCamp,medium,rest,5,1171.702,94023
freeCodeCamp/freeCodeCamp,complex,graphql,1,1234.455,9548
freeCodeCamp/freeCodeCamp,complex,rest,1,10186.447,193946
freeCodeCamp/freeCodeCamp,complex,graphql,2,970.516,9548
freeCodeCamp/freeCodeCamp,complex,rest,2,10223.392,193946
freeCodeCamp/freeCodeCamp,complex,graphql,3,1064.56,9548
freeCodeCamp/freeCodeCamp,complex,rest,3,9774.953,193946
freeCodeCamp/freeCodeCamp,complex,graphql,4,1007.122,9548
freeCodeCamp/freeCodeCamp,complex,rest,4,10946.314,193946
freeCodeCamp/freeCodeCamp,complex,graphql,5,798.824,9548
freeCodeCamp/freeCodeCamp,complex,rest,5,14868.756,193946
public-apis/public-apis,simple,graphql,1,568.104,435
public-apis/public-apis,simple,rest,1,468.431,6825
public-apis/public-apis,simple,graphql,2,556.117,435
public-apis/public-apis,simple,rest,2,474.137,6825
public-apis/public-apis,simple,graphql,3,591.497,435
public-apis/public-apis,simple,rest,3,464.089,6825
public-apis/public-apis,simple,graphql,4,601.362,435
public-apis/public-apis,simple,rest,4,454.18,6825
public-apis/public-apis,simple,graphql,5,635.046,435
public-apis/public-apis,simple,rest,5,557.731,6825
public-apis/public-apis,medium,graphql,1,639.688,4386
public-apis/public-apis,medium,rest,1,1213.954,78256
public-apis/public-apis,medium,graphql,2,785.491,4386
public-apis/public-apis,medium,rest,2,1175.798,78256
public-apis/public-apis,medium,graphql,3,601.682,4386
public-apis/public-apis,medium,rest,3,1134.831,78256
public-apis/public-apis,medium,graphql,4,631.117,4386
public-apis/public-apis,medium,rest,4,1144.381,78256
public-apis/public-apis,medium,graphql,5,657.268,4386
public-apis/public-apis,medium,rest,5,1234.303,78256
public-apis/public-apis,complex,graphql,1,1333.169,3305
public-apis/public-apis,complex,rest,1,12610.275,170714
public-apis/public-apis,complex,graphql,2,1200.738,3305
public-apis/public-apis,complex,rest,2,14866.348,170714
public-apis/public-apis,complex,graphql,3,914.511,3305
public-apis/public-apis,complex,rest,3,13850.395,170714
public-apis/public-apis,complex,graphql,4,1071.074,3305
public-apis/public-apis,complex,rest,4,16674.577,170714
public-apis/public-apis,complex,graphql,5,1263.302,3305
public-apis/public-apis,complex,rest,5,13565.26,170714
EbookFoundation/free-programming-books,simple,graphql,1,673.391,479
EbookFoundation/free-programming-books,simple,rest,1,490.991,7526
EbookFoundation/free-programming-books,simple,graphql,2,630.82,479
EbookFoundation/free-programming-books,simple,rest,2,478.095,7526
EbookFoundation/free-programming-books,simple,graphql,3,582.983,479
EbookFoundation/free-programming-books,simple,rest,3,487.671,7526
EbookFoundation/free-programming-books,simple,graphql,4,631.917,479
EbookFoundation/free-programming-books,simple,rest,4,486.678,7526
EbookFoundation/free-programming-books,simple,graphql,5,651.509,479
EbookFoundation/free-programming-books,simple,rest,5,465.484,7526
EbookFoundation/free-programming-books,medium,graphql,1,693.539,4560
EbookFoundation/free-programming-books,medium,rest,1,1171.658,92628
EbookFoundation/free-programming-books,medium,graphql,2,764.583,4560
EbookFoundation/free-programming-books,medium,rest,2,1279.828,92628
EbookFoundation/free-programming-books,medium,graphql,3,656.085,4560
EbookFoundation/free-programming-books,medium,rest,3,1153.573,92628
EbookFoundation/free-programming-books,medium,graphql,4,588.849,4560
EbookFoundation/free-programming-books,medium,rest,4,1285.277,92628
EbookFoundation/free-programming-books,medium,graphql,5,661.759,4560
EbookFoundation/free-programming-books,medium,rest,5,1345.71,92628
EbookFoundation/free-programming-books,complex,graphql,1,1244.16,6290
EbookFoundation/free-programming-books,complex,rest,1,10546.35,214507
EbookFoundation/free-programming-books,complex,graphql,2,877.845,6290
EbookFoundation/free-programming-books,complex,rest,2,10885.855,214507
EbookFoundation/free-programming-books,complex,graphql,3,1024.792,6290
EbookFoundation/free-programming-books,complex,rest,3,9375.646,214507
EbookFoundation/free-programming-books,complex,graphql,4,871.52,6290
EbookFoundation/free-programming-books,complex,rest,4,9880.701,214507
EbookFoundation/free-programming-books,complex,graphql,5,868.519,6290
EbookFoundation/free-programming-books,complex,rest,5,11136.953,214507
openclaw/openclaw,simple,graphql,1,4707.119,478
openclaw/openclaw,simple,rest,1,451.728,6334
openclaw/openclaw,simple,graphql,2,2158.117,478
openclaw/openclaw,simple,rest,2,448.591,6334
openclaw/openclaw,simple,graphql,3,2733.827,478
openclaw/openclaw,simple,rest,3,475.767,6334
openclaw/openclaw,simple,graphql,4,2142.043,478
openclaw/openclaw,simple,rest,4,467.881,6334
openclaw/openclaw,simple,graphql,5,2134.154,478
openclaw/openclaw,simple,rest,5,470.865,6334
