metric,query_type,api_type,n,mean,std,median,min,max,q1,q3
response_time_ms,simple,graphql,50,848.2672,713.9540265345507,610.495,514.528,4387.396,569.53025,681.6275
response_time_ms,simple,rest,50,449.7900000000001,140.57861976452165,435.89,371.927,1393.849,401.5575,455.5635
response_time_ms,medium,graphql,50,666.8048,314.9469583416437,644.928,358.375,2716.257,582.5435,685.9865
response_time_ms,medium,rest,50,1237.20444,724.0755015562712,1109.1995,955.383,6187.748,1048.9389999999999,1234.5030000000002
response_time_ms,complex,graphql,50,1070.8088000000002,277.3984741418094,1072.2555,635.292,2348.338,882.25525,1226.32
response_time_ms,complex,rest,50,9096.703319999999,1191.3205879245927,8821.452000000001,8181.463,13998.111,8599.998,9173.442000000001
response_size_bytes,simple,graphql,50,485.6,30.786294326653653,482.0,435.0,527.0,470.0,516.0
response_size_bytes,simple,rest,50,6444.0,653.2558957300902,6346.5,5478.0,7526.0,6024.0,7060.0
response_size_bytes,medium,graphql,50,4514.0,1833.8572597068703,4466.0,125.0,7546.0,4089.0,5242.0
response_size_bytes,medium,rest,50,97202.4,30484.23931764593,82587.5,69839.0,154115.0,77118.0,112149.0
response_size_bytes,complex,graphql,50,12110.98,16630.32024491926,5190.5,3305.0,59867.0,3522.0,13486.0
response_size_bytes,complex,rest,50,187725.6,21815.115875306765,190357.5,156303.0,223474.0,170714.0,200813.0
